date,temperature_high,temperature_avg,temperature_low,,,,,,,,,,,,
2/1/21,32.4,29.9,27,,,,,,,,,,,,
2/2/21,32.4,28.9,25.2,,,,,,,,,,,,
2/3/21,34.9,29.1,23.2,,,,,,,,,,,,
2/4/21,37.9,32.2,22.8,,,,,,,,,,,,
2/5/21,22.8,15.7,11.5,,,,,,,,,,,,
2/6/21,17.1,11.5,7.3,,,,,,,,,,,,
2/7/21,8.2,3.2,-2.9,,,,,,,,,,,,
2/8/21,15.8,10.9,4.5,,,,,,,,,,,,
2/9/21,17.2,11.5,4.6,,,,,,,,,,,,
2/10/21,18.3,14.3,9.1,,,,,,,,,,,,
2/11/21,23,17.4,8.8,,,,,,,,,,,,
2/12/21,21.4,16.4,9.7,,,,,,,,,,,,
2/13/21,15.6,9.2,1.4,,,,,,,,,,,,
2/14/21,6.4,1.9,-1.7,,,,,,,,,,,,
2/15/21,17.4,9.7,2.1,,,,,,,,,,,,
2/16/21,21.6,16.1,9.5,,,,,,,,,,,,
2/17/21,23.9,18.7,16,,,,,,,,,,,,
2/18/21,24.8,21.1,15.8,,,,,,,,,,,,
2/19/21,23,18.5,12.4,,,,,,,,,,,,
2/20/21,27.9,21.5,14.2,,,,,,,,,,,,
2/21/21,36,29.9,23,,,,,,,,,,,,
2/22/21,38.7,34,27.9,,,,,,,,,,,,
2/23/21,45.5,40.8,36.9,,,,,,,,,,,,
2/24/21,45.1,40.9,36.3,,,,,,,,,,,,
2/27/21,49.5,42.5,36,,,,,,,,,,,,
2/28/21,50,42.8,35.6,,,,,,,,,,,,
