date,temperature_high,temperature_avg,temperature_low,,,,,,,,,,,,
2/1/21,35.4,31.7,29.7,,,,,,,,,,,,
2/2/21,35.4,31.6,28.2,,,,,,,,,,,,
2/3/21,43,30.9,22.6,,,,,,,,,,,,
2/4/21,39,32.7,20.8,,,,,,,,,,,,
2/5/21,21.7,15.1,11.1,,,,,,,,,,,,
2/6/21,16.7,11.4,7,,,,,,,,,,,,
2/7/21,12.9,3.9,-2.6,,,,,,,,,,,,
2/8/21,16.9,12.1,5,,,,,,,,,,,,
2/9/21,23.7,15.6,11.3,,,,,,,,,,,,
2/10/21,21,17.6,11.5,,,,,,,,,,,,
2/11/21,24.1,20.6,12.6,,,,,,,,,,,,
2/12/21,24.1,18.6,12.7,,,,,,,,,,,,
2/13/21,17.2,11.8,3.4,,,,,,,,,,,,
2/14/21,11.1,5.1,-0.2,,,,,,,,,,,,
2/15/21,18.5,12.6,4.5,,,,,,,,,,,,
2/16/21,25.5,17.7,12.7,,,,,,,,,,,,
2/17/21,24.6,18.9,15.4,,,,,,,,,,,,
2/18/21,28.2,22.5,17.2,,,,,,,,,,,,
2/19/21,26.4,19.4,12.4,,,,,,,,,,,,
2/20/21,35.1,22.8,13.1,,,,,,,,,,,,
2/21/21,39.2,30,20.3,,,,,,,,,,,,
2/22/21,40.6,34.6,27.3,,,,,,,,,,,,
2/23/21,53.6,43.2,37.9,,,,,,,,,,,,
2/24/21,49.1,42.7,38.1,,,,,,,,,,,,
2/25/21,45.7,37.4,32.4,,,,,,,,,,,,
2/26/21,47.1,37.4,33.1,,,,,,,,,,,,
2/27/21,60.1,43.5,35.8,,,,,,,,,,,,
2/28/21,51.8,42.9,36,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
