storm_date,storm_time,state_name,magnitude,fatality_count,length,width
2015-06-07,00:15:00,Iowa,0,0,2.83,120
2015-11-11,14:00:00,Iowa,1,0,21.8,1350
2016-09-21,17:32:00,Iowa,0,0,1.65,150
2008-05-01,17:59:00,Iowa,2,0,12.95,1200
2017-06-28,16:05:00,Iowa,2,0,6.99,3000
2006-04-13,19:29:00,Iowa,2,0,4.5,1761
2005-11-12,16:58:00,Iowa,2,0,12,300
2001-06-01,15:55:00,Iowa,1,0,1,450
2004-05-21,17:08:00,Iowa,2,0,12.5,2640
2017-03-06,21:50:00,Iowa,0,0,5.7,75
2007-10-02,15:40:00,Iowa,1,0,0.44,60
2014-06-16,18:45:00,Iowa,0,0,1.72,450
2001-06-01,15:30:00,Iowa,0,0,0.2,90
2015-06-20,18:32:00,Iowa,1,0,2.92,150
2017-06-28,15:21:00,Iowa,1,0,3.78,300
1999-05-16,18:36:00,Iowa,0,0,0.3,0
2005-05-10,19:13:00,Iowa,0,0,2,120
2013-05-19,17:32:00,Iowa,0,0,2.08,300
2017-06-28,15:43:00,Iowa,0,0,1.94,90
2004-05-21,13:38:00,Iowa,1,0,3.5,300
2000-07-09,20:15:00,Iowa,1,0,3,300
2000-05-11,18:03:00,Iowa,3,1,18.6,630
2005-05-18,17:58:00,Iowa,1,0,24.5,300
2008-06-05,23:10:00,Iowa,1,0,18.26,450
2008-05-25,15:48:00,Iowa,5,9,40.97,6300
2015-06-20,17:09:00,Iowa,1,0,3.57,525
2007-06-22,15:35:00,Iowa,2,0,6.36,450
2017-05-17,17:50:00,Iowa,0,0,0.2,90
2017-07-19,17:08:00,Iowa,1,0,5.78,1200
2014-04-27,14:20:00,Iowa,1,2,45.68,4800
2016-07-17,04:15:00,Iowa,2,0,3.99,225
2005-11-12,17:20:00,Iowa,1,0,8,225
2000-05-11,19:20:00,Iowa,2,0,5,450
2006-04-13,19:48:00,Iowa,1,0,4.8,528
2014-05-11,20:43:00,Iowa,2,0,10.35,720
2010-06-25,20:53:00,Iowa,4,0,13.65,2400
2012-04-14,20:22:00,Iowa,1,0,1.27,270
2008-06-05,23:36:00,Iowa,1,0,9.81,375
2001-09-06,17:30:00,Iowa,2,0,1,150
2016-11-28,15:38:00,Iowa,0,0,5.68,150
2004-06-11,16:56:00,Iowa,3,0,12,450
2005-11-12,16:56:00,Iowa,0,0,0.2,90
2001-04-11,15:25:00,Iowa,0,0,3,150
2013-10-04,19:33:00,Iowa,1,0,5.45,600
2013-05-19,18:07:00,Iowa,1,0,4.71,450
2015-06-22,16:50:00,Iowa,2,0,1.71,870
2015-06-07,00:41:00,Iowa,1,0,0.92,105
2017-08-18,19:07:00,Iowa,2,0,5.14,750
2017-06-28,16:54:00,Iowa,1,0,17.8,1500
2008-06-05,23:49:00,Iowa,0,0,10.89,225
2017-06-28,14:57:00,Iowa,0,0,14.93,300
2017-03-06,20:33:00,Iowa,2,0,9.66,270
1999-04-08,13:54:00,Iowa,4,0,49,3000
2016-07-19,13:34:00,Iowa,0,0,2.34,150
2011-04-09,20:08:00,Iowa,3,0,29.37,7920
